,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
163,ORL,99,h,OKC,0,1,52.5,21,2.2,1,108.8,87.0,40,0.41700000000000004,0.37,40,0.111,0.75,9,18,7.0,7,0.35200000000000004,0.263,10,51.4,55,0.43700000000000006,5.0,6,0.429,30,46,0.517,0.442,38,17,0.317,13,52,0.5670000000000001,0.556,25,2021-01-02 19:00:00
164,CHO,112,a,PHI,0,1,89.5,34,11.4,5,126.3,78.8,26,0.484,0.413,38,0.28300000000000003,0.885,23,18,14.9,15,0.38,0.371,13,47.1,40,0.541,10.4,12,0.439,25,38,0.696,0.595,47,17,0.457,16,45,0.7090000000000001,0.705,31,2021-01-02 19:00:00
165,PHI,127,h,CHO,1,0,74.5,35,12.3,7,111.3,73.1,38,0.696,0.595,47,0.304,0.708,17,17,9.9,10,0.44299999999999995,0.457,16,52.9,45,0.7090000000000001,19.0,21,0.705,31,26,0.484,0.413,38,18,0.371,13,40,0.541,0.439,25,2021-01-02 19:00:00
166,WAS,123,a,BRK,1,0,62.8,27,6.1,3,113.0,83.7,36,0.47100000000000003,0.413,43,0.327,0.735,25,22,8.3,9,0.317,0.364,12,49.0,49,0.517,5.6,7,0.43700000000000006,31,44,0.58,0.494,40,24,0.43799999999999994,14,51,0.645,0.531,26,2021-01-03 18:00:00
167,BRK,122,h,WAS,0,1,62.5,25,12.7,9,113.9,77.2,44,0.58,0.494,40,0.38299999999999995,0.903,28,24,4.6,5,0.395,0.43799999999999994,14,51.0,51,0.645,17.4,20,0.531,26,36,0.47100000000000003,0.413,43,22,0.364,12,49,0.517,0.43700000000000006,31,2021-01-03 18:00:00
168,DAL,108,a,CHI,0,1,59.0,23,8.3,4,116.6,73.2,30,0.5,0.43799999999999994,39,0.303,0.7040000000000001,19,27,5.9,6,0.47200000000000003,0.262,11,46.1,41,0.535,12.9,15,0.596,28,37,0.535,0.45899999999999996,39,24,0.35100000000000003,13,48,0.601,0.542,26,2021-01-03 20:00:00
169,CHI,118,h,DAL,1,0,41.0,16,4.3,2,106.8,77.1,37,0.535,0.45899999999999996,39,0.353,0.9,27,24,10.9,11,0.435,0.35100000000000003,13,53.9,48,0.601,14.0,16,0.542,26,30,0.5,0.43799999999999994,39,27,0.262,11,41,0.535,0.596,28,2021-01-03 20:00:00
170,BOS,122,a,DET,1,0,71.4,35,10.0,5,125.9,78.4,29,0.649,0.563,49,0.149,0.6920000000000001,9,22,4.2,4,0.379,0.455,15,55.4,41,0.6579999999999999,15.5,17,0.63,34,25,0.57,0.47700000000000004,41,16,0.444,16,33,0.619,0.5,25,2021-01-03 15:00:00
171,DET,120,h,BOS,0,1,70.7,29,13.0,7,128.0,67.6,25,0.57,0.47700000000000004,41,0.29100000000000004,0.88,22,16,8.4,8,0.419,0.444,16,44.6,33,0.619,8.5,9,0.5,25,29,0.649,0.563,49,22,0.455,15,41,0.6579999999999999,0.63,34,2021-01-03 15:00:00
172,POR,122,a,GSW,0,1,39.0,16,3.7,2,127.8,71.8,28,0.49,0.418,41,0.337,0.7879999999999999,26,27,6.5,7,0.439,0.326,14,43.0,40,0.542,9.6,12,0.491,27,42,0.631,0.557,49,24,0.382,13,53,0.665,0.667,36,2021-01-03 20:30:00
173,GSW,137,h,POR,1,0,46.9,23,12.7,7,113.8,77.8,42,0.631,0.557,49,0.386,0.765,26,24,3.7,4,0.386,0.382,13,57.0,53,0.665,12.7,15,0.667,36,28,0.49,0.418,41,27,0.326,14,40,0.542,0.491,27,2021-01-03 20:30:00
174,LAL,108,a,MEM,1,0,58.5,24,8.1,5,100.8,72.5,37,0.528,0.461,41,0.213,0.737,14,15,9.7,9,0.39299999999999996,0.34299999999999997,12,49.5,49,0.555,9.3,10,0.537,29,36,0.45799999999999996,0.41100000000000003,39,18,0.273,9,50,0.47700000000000004,0.484,30,2021-01-03 18:00:00
